"","...1","id_play","Week","game_id","pos_team","def_pos_team","pos_team_score","def_pos_team_score","kicker_player_name","yds_fg","pts_scored","fgm","fga","fg_make_prob","fg_inds","FG_before","play_text","EPA","wpa","half","period","clock.minutes","clock.seconds","down","distance","yards_to_goal","fg_made","play_type"
"494",494,401413225102918720,2,401413225,"San Diego","Cal Poly",10,0,"Aidan Lehman",30,3,1,1,0.831930173180296,1,0.844846763301291,"Aidan Lehman 30 yd FG GOOD",0.592574976633656,0.0789243,1,2,8,12,4,12,13,TRUE,"Field Goal Good"
"495",495,401413225102918720,2,401413225,"San Diego","Cal Poly",10,0,"Aidan Lehman",30,3,1,1,0.831930173180296,1,0.845195447358621,"Aidan Lehman 30 yd FG GOOD",0.567427099020851,-0.0650577,1,2,8,12,4,12,13,TRUE,"Field Goal Good"
"496",496,401413225104878784,2,401413225,"San Diego","Cal Poly",27,14,"Aidan Lehman",29,3,1,1,0.846304110922688,1,0.861466383930329,"Aidan Lehman 29 yd FG GOOD",0.498585356992459,-0.0069264,2,4,12,11,4,2,12,TRUE,"Field Goal Good"
"497",497,401413257103976704,2,401413257,"San Diego State","Idaho State",24,7,"Jack Browning",20,3,1,1,0.942636279565224,1,0.950317472397206,"Jack Browning 20 yd FG GOOD",0.115367607851429,0.0110227,2,3,2,32,4,2,3,TRUE,"Field Goal Good"
"498",498,401413334102874624,2,401413334,"South Dakota","Montana",0,13,"Eddie Ogamba",38,0,0,1,0.706259503651492,1,0.726088151394244,"Eddie Ogamba 38 yd FG MISSED",-3.0999531853564,-0.0293804,1,2,12,53,4,7,21,FALSE,"Field Goal Missed"
"499",499,401413334103919808,2,401413334,"Montana","South Dakota",16,0,"Nico Ramos",28,3,1,1,0.860213325209804,1,0.877899812394396,"Nico Ramos 28 yd FG GOOD",0.366522254534218,0.0106023,2,3,8,1,4,11,11,TRUE,"Field Goal Good"
"500",500,401413341101986432,2,401413341,"Montana State","Morehead State",21,0,"Blake Glessner",44,0,0,1,0.601806172147826,1,0.638449043856206,"Blake Glessner 44 yd FG MISSED",-1.44548089304805,0.0033141,1,1,1,35,4,8,27,FALSE,"Field Goal Missed"
"501",501,401413341102938624,2,401413341,"Morehead State","Montana State",3,35,"Nathan Hazlett",40,3,1,1,0.672158198655559,1,0.683202774746334,"Nathan Hazlett 40 yd FG GOOD",1.84543279404472,0.0057924,1,2,6,13,4,5,23,TRUE,"Field Goal Good"
"502",502,401413341103964800,2,401413341,"Morehead State","Montana State",6,42,"Nathan Hazlett",37,3,1,1,0.722965405698557,1,0.738891617638017,"Nathan Hazlett 37 yd FG GOOD",1.7915021567735,0.0018518,2,3,3,51,4,16,20,TRUE,"Field Goal Good"
"503",503,401414779103948992,2,401414779,"Toledo","UMass",45,7,"Thomas Cluckey",43,3,1,1,0.619714572628981,1,0.661449409273564,"Thomas Cluckey 43 yd FG GOOD",1.00625344443962,0.0029101,2,3,5,9,4,12,26,TRUE,"Field Goal Good"
"504",504,401414779104855296,2,401414779,"Toledo","UMass",48,7,"Thomas Cluckey",27,3,1,1,0.873530423694007,1,0.88987866347544,"Thomas Cluckey 27 yd FG GOOD",0.155574965008448,0.0014312,2,4,14,46,4,9,10,TRUE,"Field Goal Good"
"505",505,401415170101886400,2,401415170,"Sam Houston State","Northern Arizona",0,0,"Seth Morgan",52,0,0,1,0.441981426192982,1,0.481651843130119,"Seth Morgan 52 yd FG MISSED",-1.77135908620497,-0.0667801,1,1,11,35,4,17,35,FALSE,"Field Goal Missed"
"506",506,401415170102884480,2,401415170,"Sam Houston State","Northern Arizona",3,0,"Seth Morgan",44,3,1,1,0.601806172147826,1,0.62813841429221,"Seth Morgan 44 yd FG GOOD",2.00880721606395,0.0556635,1,2,11,54,4,20,27,TRUE,"Field Goal Good"
"507",507,401415170102917312,2,401415170,"Northern Arizona","Sam Houston State",0,3,"Collin Robbins",39,0,0,1,0.689308840183122,1,0.707961296928838,"Collin Robbins 39 yd FG BLOCKED blocked by Kameryn Alexander",-2.64367676163864,-0.0572934,1,2,8,26,4,3,22,FALSE,"Blocked Field Goal"
"508",508,401415170103898816,2,401415170,"Northern Arizona","Sam Houston State",10,3,"Collin Robbins",19,3,1,1,0.949000388466587,1,0.956212704043079,"Collin Robbins 19 yd FG GOOD",0.117682915546221,0.0080289,2,3,10,11,4,2,2,TRUE,"Field Goal Good"
"509",509,401415177101957184,2,401415177,"Wyoming","Northern Colorado",3,0,"John Hoyland",23,3,1,1,0.91858831898569,1,0.928399209808624,"John Hoyland 23 yd FG GOOD",0.255337106136563,0.0670729,1,1,4,27,4,6,6,TRUE,"Field Goal Good"
"510",510,401415177102865728,2,401415177,"Wyoming","Northern Colorado",6,0,"John Hoyland",41,3,1,1,0.654842744631629,1,0.681501151633775,"John Hoyland 41 yd FG GOOD",1.61025244897722,0.0559664,1,2,13,42,4,5,24,TRUE,"Field Goal Good"
